,Full_time,Part_time,Full_time_year_round,Unemployment_rate,College_jobs,Non_college_jobs,Low_wage_jobs
163,1.2303907007939418e-45,8.538511086060385e-46,8.906858339664778e-46,0.047583999999999994,1.2292819632412861e-45,5.79253774731726e-46,3.1568221985326403e-46
164,6.341811475559884e-46,1.6104690826796311e-46,4.772748539842449e-46,0.040104981,5.409253032311317e-46,1.7724131241317752e-46,6.597379415976551e-47
165,2.422798950821706e-39,1.7179169008616488e-39,1.4983405479971068e-39,0.107115726,1.0843622011951685e-39,1.726308353837364e-39,5.198038926623441e-40
166,1.8168246685296416e-46,1.1555371912539505e-46,1.2203437975159734e-46,0.07754113,5.053036836082363e-47,1.8288178643373296e-46,7.996427180691963e-47
167,1.1255628407925099e-42,7.35324721205422e-43,8.710016963824658e-43,0.081742207,5.399276348234004e-43,9.008061466672593e-43,3.854560622652742e-43
168,8.732417696347795e-39,3.7921861501093936e-39,6.237193841412803e-39,0.04632028,4.798241014590471e-39,5.1030011800787134e-39,1.28657274407821e-39
169,4.631841490043409e-34,1.4336652231086742e-34,3.0352597643087484e-34,0.065112187,3.7295347062687175e-34,1.541440755615095e-34,2.0552543408201276e-35
170,4.896104572411881e-34,1.8402991664285961e-34,3.672078429308912e-34,0.14904819800000002,2.8002082995348698e-34,2.470772029001356e-34,1.7664600023434981e-34
171,1.4133341599863709e-36,4.324246875037565e-37,1.2269210304510728e-36,0.053620645999999994,1.0768046881570227e-36,5.5789506315251474e-37,1.3801741321363419e-37
172,1.5798350154475773e-29,6.314011781805661e-30,1.0922973968524564e-29,0.10494571800000001,7.672723177890424e-30,9.004793174051955e-30,5.115148785260284e-30
